layer_code;generic_layer;layer_name;ED50_X_coordinate;ED50_Y_coordinate;ETRS89_X_coordinate;ETRS89_Y_coordinate;longitude;latitude;equipment;district_code;neighbourhood_code;district_name;neighbourhood_name
K004;Transports i serveis relacionats;Tren a l'aeroport;432343.18;4.584.819.321;432.251.231;4.584.618.362;2.189.397;41.410.259;Tren AEROPORT - CLOT-;10;65;Sant Martí;el Clot
K002;Transports i serveis relacionats;Ferrocarrils Generalitat (FGC);427.818.595;4.583.478.761;427.726.688;4.583.277.816;2.135.427;41.397.791;FGC - BONANOVA-;5;26;Sarrià-Sant Gervasi;Sant Gervasi - Galvany
K002;Transports i serveis relacionats;Ferrocarrils Generalitat (FGC);428.146.731;4.584.356.984;428.054.821;4.584.156.031;2.139.248;41.405.731;FGC - EL PUTXET-;5;27;Sarrià-Sant Gervasi;el Putxet i el Farró
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;423.044.361;4.579.104.133;422.952.497;4578903.23;2.078.879;41.357.949;Gavarra (Pl. Catalunya)-;;;;
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;429.017.791;4.580.918.758;428.925.872;4.580.717.836;2.150.072;41.374.841;Espanya (Exposició)-;3;11;Sants-Montjuïc;el Poble-sec
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;429.759.572;4580948.83;429.667.646;4.580.747.908;2.158.937;41.375.177;Poble Sec (Manso)-;2;10;Eixample;Sant Antoni
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;429.762.788;4.580.918.266;429.670.862;4.580.717.344;2.158.979;41.374.902;Poble Sec (Teodor Bonaplata)-;3;11;Sants-Montjuïc;el Poble-sec
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;436.048.723;4.588.128.525;435.956.741;4.587.927.534;2.233.378;41.440.368;Gorg (Avinguda Alfons XIII)-;;;;
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;433.136.559;4.590.067.701;433.044.605;4.589.866.693;2.198.307;41.457.596;Can Zam (Francesc Macià)-;;;;
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;436.983.466;4.589.069.597;436.891.476;4.588.868.597;2.244.468;41.448.918;Badalona Pompeu Fabra (La Creu)-;;;;
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;425.834.257;4.581.995.237;425.742.368;4.581.794.306;2.111.874;41.384.249;Zona Universitària (Dr. Marañón / Diagonal)-;4;20;Les Corts;la Maternitat i Sant Ramon
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;425.782.231;4.581.055.123;425.690.342;4.580.854.201;2.111.368;41.375.777;Ernest Lluch (Cementiri de Sants)-;;;;
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;430.707.806;4.582.077.957;430.615.872;4.581.877.024;2.170.146;41.385.429;Catalunya (La Rambla)-;1;1;Ciutat Vella;el Raval
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;429.881.979;4.583.286.687;429.790.053;4.583.085.743;216.013;41.396.244;Diagonal (Diagonal / Pau Claris)-;2;7;Eixample;la Dreta de l'Eixample
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;429.015.665;4.584.404.318;428.923.747;4.584.203.364;2.149.637;41.406.234;Lesseps (Septimània)-;5;27;Sarrià-Sant Gervasi;el Putxet i el Farró
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;428.331.324;4.585.665.371;428.239.413;4.585.464.406;2.141.301;41.417.531;Penitents (Avinguda Vallcarca)-;6;28;Gràcia;Vallcarca i els Penitents
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;429.044.041;4582420.39;428.952.122;4.582.219.454;2.150.209;41.388.368;Hospital Clínic (Comte d'Urgell)-;2;9;Eixample;la Nova Esquerra de l'Eixample
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;430.498.636;4.583.598.613;430.406.704;4.583.397.666;216.747;41.399.107;Verdaguer (Bailèn)-;2;7;Eixample;la Dreta de l'Eixample
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;430.471.146;4.587.070.982;430.379.215;4.586.870.003;2.166.742;41.430.379;Vilapicina (Cartellà)-;8;44;Nou Barris;Vilapicina i la Torre Llobeta
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;426.232.839;4.580.200.141;426.140.946;4.579.999.227;211.686;41.368.118;Torrassa (Rosalía de Castro)-;;;;
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;428.057.934;4.580.994.738;427.966.024;4.580.793.816;2.138.586;4.137.544;Plaça de Sants (Riego)-;3;18;Sants-Montjuïc;Sants
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;427.940.478;4.580.982.693;427.848.569;4.580.781.771;2.137.183;41.375.321;Plaça de Sants (Olzinelles)-;3;18;Sants-Montjuïc;Sants
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;430.658.799;4.582.313.141;430.566.865;4.582.112.206;2.169.533;41.387.543;Catalunya (Centre Plaça)-;2;7;Eixample;la Dreta de l'Eixample
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;432.824.996;4.585.326.887;432.733.043;4.585.125.923;2.195.105;41.414.871;Bac de Roda (Bac de Roda)-;10;72;Sant Martí;Sant Martí de Provençals
K011;Transports i serveis relacionats;Tramvia;425.335.618;4581092.28;425.243.733;4.580.891.358;2.106.023;41.376.071;TRAMVIA (T1,T2,T3) - CAN RIGAL-;;;;
K011;Transports i serveis relacionats;Tramvia;435.164.796;4.587.035.887;435.072.822;4.586.834.907;2.222.916;41.430.456;TRAMVIA (T5) - ENCANTS DE SANT ADRIÀ-;;;;
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;434.096.418;4.585.876.766;434.004.454;4.585.675.797;2.210.257;41.419.929;METRO (L4) - Besòs-;10;70;Sant Martí;el Besòs i el Maresme
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;422338.97;4579041.71;422.247.112;4.578.840.808;2.070.455;41.357.319;METRO (L5) - Cornellà Centre-;;;;
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;426.439.007;4.581.047.865;426.347.112;4.580.846.943;2.119.222;41.375.772;METRO (L5) - Collblanc-;;;;
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;428.658.221;4.581.994.167;428.566.306;4.581.793.235;2.145.645;41.384.495;METRO (L5) - Entença-;2;9;Eixample;la Nova Esquerra de l'Eixample
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;430.546.717;4.587.082.912;430.454.786;4.586.881.933;2.167.645;41.430.493;METRO (L5) - Vilapicina-;8;46;Nou Barris;el Turó de la Peira
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;422.500.208;4.573.103.524;422.408.347;4.572.902.677;2.073.141;41.303.852;METRO (L9S) - Aeroport T2-;;;;
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;433.700.439;4.587.690.371;433.608.479;4.587.489.385;220.532;41.436.231;METRO (L9NL10N) - Bon Pastor-;9;59;Sant Andreu;el Bon Pastor
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;434675.75;4588254.06;434.583.781;4.588.053.069;2.216.931;41.441.388;METRO (L10N) - Llefià-;;;;
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;428.014.559;4.579.406.009;427.922.649;4.579.205.102;2.138.256;41.361.128;METRO (L10S) - Foneria-;3;13;Sants-Montjuïc;la Marina de Port
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;430.589.584;4.580.796.378;430497.65;4.580.595.457;2.168.879;41.373.877;METRO (FM) - Paral·lel-;3;11;Sants-Montjuïc;el Poble-sec
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;428.952.565;4.587.673.545;428.860.649;4.587.472.561;2.148.498;41.435.673;METRO (L3) - Mundet-;7;41;Horta-Guinardó;la Vall d'Hebron
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;428.871.609;4.580.970.711;428.779.691;4.580.769.789;2.148.318;41.375.296;Espanya (Creu Coberta)-;3;15;Sants-Montjuïc;Hostafrancs
K003;Transports i serveis relacionats;RENFE;430.734.873;4.582.375.115;430.642.939;4.582.174.179;2.170.436;41.388.108;RENFE - CATALUNYA-;2;7;Eixample;la Dreta de l'Eixample
K003;Transports i serveis relacionats;RENFE;424.033.841;4.576.123.885;423.941.967;4.575.923.009;209.108;41.331.201;RENFE - EL PRAT DE LLOBREGAT-;;;;
K011;Transports i serveis relacionats;Tramvia;434.888.218;4.584.964.443;434.796.246;4.584.763.482;2.219.829;41.411.777;TRAMVIA (T4) - FÒRUM-;10;70;Sant Martí;el Besòs i el Maresme
K011;Transports i serveis relacionats;Tramvia;435.784.581;4.586.297.339;435.692.601;4.586.096.365;2.230.412;41.423.854;TRAMVIA (T4, T6) - ESTACIÓ DE SANT ADRIÀ-;;;;
K011;Transports i serveis relacionats;Tramvia;421.654.373;4.579.389.297;421.562.522;4.579.188.392;2.062.227;41.360.383;TRAMVIA (T1,T2) - FONTSANTA-FATJÓ-;;;;
K003;Transports i serveis relacionats;RENFE;431.795.907;4.594.379.975;431.703.966;4.594.178.928;2.181.768;41.496.321;RENFE - MONTCADA-RIPOLLET-;;;;
K011;Transports i serveis relacionats;Tramvia;422.886.853;4.579.945.679;422794.99;4.579.744.768;2.076.889;41.365.513;TRAMVIA (T1,T2) - EL PEDRÒ-;;;;
K011;Transports i serveis relacionats;Tramvia;433.034.236;4.584.922.045;432.942.281;4.584.721.085;2.197.653;41.411.242;TRAMVIA (T5, T6) - ESPRONCEDA-;10;71;Sant Martí;Provençals del Poblenou
K011;Transports i serveis relacionats;Tramvia;426.092.308;4.581.574.089;426.000.416;4.581.373.162;2.115.012;4.138.048;TRAMVIA (T1,T2,T3) - AVINGUDA DE XILE-;4;20;Les Corts;la Maternitat i Sant Ramon
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;434.569.587;4.588.856.684;434.477.619;4.588.655.687;2.215.595;41.446.807;Santa Rosa (Banús Baixa)-;;;;
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;426.340.766;4.579.371.428;426.248.871;4.579.170.521;2.118.251;41.360.665;Can Tries | Gornal (Can Tries - Narcís de Monturiol)-;;;;
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;427.384.656;4.578.410.814;427.292.751;4.578.209.916;2.130.845;41.352.108;Fira (Botànica + Accés NORD | EST)-;;;;
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;427.064.502;4.577.223.132;426972.6;4.577.022.245;2.127.161;41.341.382;Parc Logístic (Av. Parc Logístic / C. Número Un)-;3;12;Sants-Montjuïc;la Marina del Prat Vermell
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;431.170.286;4.590.455.575;431078.35;4.590.254.564;2.174.722;41.460.923;Ciutat Meridiana (Avinguda Rasos de Peguera)-;8;55;Nou Barris;Ciutat Meridiana
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;424.833.197;4.579.759.751;424.741.316;4.579.558.841;2.100.181;41.364.022;Rambla Just Oliveras (Renfe)-;;;;
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;432.162.369;4.585.407.352;432.070.422;4.585.206.388;2.187.168;4.141.554;Navas (Navas de Tolosa)-;9;63;Sant Andreu;Navas
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;431.930.636;4.586.903.201;431.838.692;4.586.702.223;2.184.227;41.428.993;Fabra i Puig (Concepción Arenal)-;9;60;Sant Andreu;Sant Andreu
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;432.762.829;4.589.085.455;432.670.878;4.588.884.457;2.193.942;41.448.718;Trinitat Vella (Via Bàrcino)-;9;57;Sant Andreu;la Trinitat Vella
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;430.107.045;4.581.371.595;430.015.116;4.581.170.669;2.163.043;41.379.015;Sant Antoni (Urgell)-;2;10;Eixample;Sant Antoni
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;430.600.902;4582553.85;430.508.969;4.582.352.913;2.168.813;41.389.706;Passeig de Gràcia (Pau Claris)-;2;7;Eixample;la Dreta de l'Eixample
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;425.721.084;4.581.102.937;425.629.196;4.580.902.015;2.110.631;41.376.202;Ernest Lluch (Avinguda de Xile)-;4;20;Les Corts;la Maternitat i Sant Ramon
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;431.234.177;4.581.134.193;431.142.238;4.580.933.269;2.176.548;41.376.975;Drassanes (La Rambla)-;1;1;Ciutat Vella;el Raval
K002;Transports i serveis relacionats;Ferrocarrils Generalitat (FGC);422.671.426;4.588.750.953;422.579.568;4.588.549.961;2.073.187;41.444.795;FGC - LA FLORESTA-;;;;
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;432161.47;4584722.98;432.069.523;4.584.522.022;2.187.234;41.409.376;Clot (Aragó / Meridiana)-;10;65;Sant Martí;el Clot
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;431.886.081;4587016.87;431.794.137;4.586.815.891;2.183.681;41.430.013;Fabra i Puig (Avinguda Meridiana)-;9;60;Sant Andreu;Sant Andreu
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;422.527.145;4573996.25;422.435.284;4.573.795.394;2.073.349;41.311.895;Mas Blau (Avinguda de Les Garrigues / Alta Ribagorça)-;;;;
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;422.322.349;4571369.92;422.230.489;4.571.169.089;2.071.238;41.288.221;Aeroport T1 (Aeroport T1)-;;;;
K002;Transports i serveis relacionats;Ferrocarrils Generalitat (FGC);430.446.512;4582134.85;430354.58;4.581.933.917;2.167.015;41.385.919;FGC - CATALUNYA (C. de Balmes)-;2;7;Eixample;la Dreta de l'Eixample
K002;Transports i serveis relacionats;Ferrocarrils Generalitat (FGC);426.957.615;4.583.617.136;426.865.716;4583416.19;2.125.112;4.139.896;FGC - SARRIÀ-;5;24;Sarrià-Sant Gervasi;les Tres Torres
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;428555.42;4.577.373.718;428.463.504;4.577.172.829;2.144.961;41.342.872;Zona Franca (Carrer A (costat mar))-;3;12;Sants-Montjuïc;la Marina del Prat Vermell
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;427.534.876;4.575.248.102;427.442.969;4.575.047.233;2.133.018;41.323.636;ZAL | Riu Vell (Riu Llobregat)-;3;12;Sants-Montjuïc;la Marina del Prat Vermell
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;431.336.647;4.586.196.568;431.244.708;4.585.995.597;2.177.199;41.422.578;Maragall (Ronda Guinardó - costat Muntanya)-;7;35;Horta-Guinardó;el Guinardó
K011;Transports i serveis relacionats;Tramvia;422762.79;4.581.426.948;422.670.929;4.581.226.023;2.075.217;41.378.842;TRAMVIA (T3) - RAMBLA DE SANT JUST-;;;;
K011;Transports i serveis relacionats;Tramvia;435.426.049;4.585.750.863;435.334.072;4.585.549.895;222.618;41.418.903;TRAMVIA (T4, T6) - PORT FÒRUM-;;;;
K011;Transports i serveis relacionats;Tramvia;423.516.749;4.580.823.236;423.424.881;4.580.622.317;2.084.309;41.373.477;TRAMVIA (T1,T2,T3) - LA SARDANA-;;;;
K009;Transports i serveis relacionats;Funicular;431.351.425;4.590.442.304;431.259.487;4.590.241.293;2.176.893;41.460.819;Ascensor Inclinat - Funicular Ciutat Meridiana-;8;55;Nou Barris;Ciutat Meridiana
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;434.064.779;4.585.917.358;433.972.815;4.585.716.388;2.209.874;41.420.292;Besòs (Tram Besòs)-;10;70;Sant Martí;el Besòs i el Maresme
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;433.927.604;4.584.531.759;433.835.641;4.584.330.802;2.208.384;41.407.801;Selva de Mar (Provençals)-;10;69;Sant Martí;Diagonal Mar i el Front Marítim del Poblenou
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;429.810.279;4.587.004.313;429.718.354;4.586.803.335;2.158.841;41.429.721;Horta (Lisboa)-;7;43;Horta-Guinardó;Horta
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;431503.01;4.583.729.707;431.411.069;4.583.528.759;2.179.469;41.400.374;Monumental (Marina)-;2;5;Eixample;el Fort Pienc
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;430.126.062;4584373.41;430.034.134;4.584.172.456;2.162.924;41.406.053;Joanic (Escorial)-;6;32;Gràcia;el Camp d'en Grassot i Gràcia Nova
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;431.271.124;4.588.903.863;431.179.187;4.588.702.867;2.176.107;41.446.956;Roquetes (Carrer de les Torres)-;8;50;Nou Barris;les Roquetes
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;429.432.023;4.586.296.628;429.340.102;4.586.095.656;2.154.397;41.423.314;El Carmel (Llobregós)-;7;37;Horta-Guinardó;el Carmel
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;428.619.333;4.587.096.474;428.527.419;4.586.895.495;2.144.578;41.430.446;Montbau (Residència Sanitària / Llars Mundet)-;7;40;Horta-Guinardó;Montbau
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;432.121.477;4.586.108.882;432.029.531;4.585.907.911;21.866;41.421.855;La Sagrera (Garcilaso)-;9;61;Sant Andreu;la Sagrera
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;427.844.587;4.581.691.682;427.752.679;4.581.490.753;2.135.951;41.381.698;Plaça del Centre (Plaça del Centre (mar))-;3;18;Sants-Montjuïc;Sants
K011;Transports i serveis relacionats;Tramvia;424.740.122;4.581.144.606;424.648.243;4.580.943.683;2.098.896;41.376.486;TRAMVIA (T1,T2,T3) - CA N'OLIVERES-;;;;
K011;Transports i serveis relacionats;Tramvia;422.805.021;4.580.704.456;422.713.159;4.580.503.538;2.075.814;41.372.339;TRAMVIA (T3) - SANT MARTÍ DE L'ERM-;;;;
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;432860.76;4.585.361.973;432.768.807;4.585.161.009;2.195.529;4.141.519;METRO (L2) - Bac de Roda-;10;72;Sant Martí;Sant Martí de Provençals
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;430.946.929;4.581.636.443;430.854.992;4.581.435.514;2.173.056;41.381.473;METRO (L3) - Liceu-;1;2;Ciutat Vella;el Barri Gòtic
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;430.612.855;4.580.912.069;430.520.921;4.580.711.147;2.169.144;41.374.921;METRO (L3) - Paral·lel-;3;11;Sants-Montjuïc;el Poble-sec
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;429.765.797;4.581.763.498;429.673.871;4.581.562.568;2.158.917;41.382.515;METRO (L1) - Urgell-;2;8;Eixample;l'Antiga Esquerra de l'Eixample
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;432.181.614;4.583.937.709;432.089.667;4.583.736.758;2.187.563;41.402.305;METRO (L1) - Glòries-;10;66;Sant Martí;el Parc i la Llacuna del Poblenou
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;428.024.001;4.580.988.524;427.932.091;4.580.787.602;2.138.181;41.375.381;METRO (L1) - Plaça de Sants-;3;18;Sants-Montjuïc;Sants
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;428.660.245;4.587.118.498;428.568.331;4.586.917.519;2.145.065;41.430.648;METRO (L3) - Montbau-;7;40;Horta-Guinardó;Montbau
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;430.126.681;4.581.465.336;430.034.752;4.581.264.409;2.163.267;41.379.861;METRO (L2) - Sant Antoni-;1;1;Ciutat Vella;el Raval
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;431474;4.588.546.863;431.382.061;4588345.87;2.178.576;41.443.758;METRO (L4) - Via Júlia-;8;51;Nou Barris;Verdun
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;434.813.719;4.589.387.857;434.721.749;4.589.186.855;221.846;41.451.611;METRO (L1) - Fondo-;;;;
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;430.315.353;4.582.770.325;430.223.423;4.582.569.386;2.165.373;41.391.631;METRO (L3) - Passeig de Gràcia-;2;7;Eixample;la Dreta de l'Eixample
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;431.930.389;4.581.667.765;431.838.443;4.581.466.835;2.184.813;41.381.839;METRO (L4) - Barceloneta-;1;3;Ciutat Vella;la Barceloneta
K002;Transports i serveis relacionats;Ferrocarrils Generalitat (FGC);429.726.943;4582853.67;429.635.018;4582652.73;2.158.326;41.392.331;FGC - PROVENÇA (C. de Provença)-;2;8;Eixample;l'Antiga Esquerra de l'Eixample
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;431.504.785;4.583.749.453;431.412.844;4.583.548.504;2.179.488;41.400.552;METRO (L2) - Monumental-;2;5;Eixample;el Fort Pienc
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;433.301.089;4585791.13;433.209.132;4.585.590.162;220.075;41.419.092;METRO (L2) - Sant Martí-;10;72;Sant Martí;Sant Martí de Provençals
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;433.235.718;4589219.41;433.143.763;4589018.41;2.199.588;41.449.964;METRO (L1) - Baró de Viver-;9;57;Sant Andreu;la Trinitat Vella
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;432.548.263;4583138.32;432.456.312;4.582.937.377;2.192.038;41.395.136;METRO (L4) - Bogatell-;10;66;Sant Martí;el Parc i la Llacuna del Poblenou
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;431.409.721;4581929.71;431317.78;4.581.728.778;2.178.557;41.384.154;METRO (L4) - Jaume I-;1;4;Ciutat Vella;Sant Pere, Santa Caterina i la Ribera
K002;Transports i serveis relacionats;Ferrocarrils Generalitat (FGC);428.431.962;4.583.565.877;428.340.049;4.583.364.931;2.142.754;41.398.631;FGC - MUNTANER-;5;26;Sarrià-Sant Gervasi;Sant Gervasi - Galvany
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;428.533.646;4.580.953.387;428.441.732;4.580.752.465;2.144.279;4.137.511;Hostafrancs (Hostafrancs)-;3;15;Sants-Montjuïc;Hostafrancs
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;428.960.141;4.580.856.259;428.868.223;4.580.655.338;214.939;41.374.273;Espanya (Exposició / Gran Via)-;3;11;Sants-Montjuïc;el Poble-sec
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;424.777.317;4.580.589.616;424.685.437;4.580.388.699;209.941;41.371.491;Can Vidalet (Hortènsia)-;;;;
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;425.806.742;4.581.986.747;425.714.853;4.581.785.816;2.111.546;4.138.417;Zona Universitària (Avinguda Diagonal)-;4;20;Les Corts;la Maternitat i Sant Ramon
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;426.347.202;4.582.201.734;426.255.308;4.582.000.801;2.117.983;41.386.156;Palau Reial (Palau de Pedralbes)-;4;21;Les Corts;Pedralbes
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;427.820.242;4581741;427.728.334;4.581.540.071;2.135.654;4.138.214;Plaça del Centre (Plaça del Centre (muntanya))-;4;19;Les Corts;les Corts
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;428.350.238;4.581.621.375;428.258.325;4.581.420.447;2.142.006;4.138.111;Sants Estació (Av. Josep Tarradellas)-;3;18;Sants-Montjuïc;Sants
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;430.900.629;4.581.700.726;430.808.693;4.581.499.796;2.172.495;41.382.048;Liceu (La Rambla / Mercat de la Boqueria)-;1;1;Ciutat Vella;el Raval
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;436.473.861;4.588.580.987;436.381.876;4.588.379.992;2.238.419;41.444.477;Pep Ventura (Avinguda Marquès de Mont-roig)-;;;;
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;433.470.488;4.584.062.749;433.378.529;4.583.861.797;2.202.967;41.403.539;Poblenou (Pujades / Bilbao)-;10;68;Sant Martí;el Poblenou
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;432.991.788;4.583.589.414;432.899.833;4.583.388.466;2.197.293;41.399.236;Llacuna (Pujades / Ciutat de Granada)-;10;68;Sant Martí;el Poblenou
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;432.017.261;4.581.728.791;431.925.315;4.581.527.861;2.185.845;41.382.396;Barceloneta (Plaça Pau Vila)-;1;4;Ciutat Vella;Sant Pere, Santa Caterina i la Ribera
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;431354.63;4.589.032.196;431.262.692;4.588.831.198;2.177.091;41.448.119;Roquetes (Vidal i Guasch)-;8;50;Nou Barris;les Roquetes
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;434.076.893;4.588.639.218;433984.93;4.588.438.223;2.209.721;41.444.808;Can Peixauet (Avinguda Santa Coloma)-;;;;
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;429.486.226;4.586.335.959;429.394.304;4.586.134.987;2.155.041;41.423.673;El Carmel (Mercat)-;7;37;Horta-Guinardó;el Carmel
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;424.821.386;4.580.645.229;424.729.506;4.580.444.311;209.993;41.371.996;Can Vidalet (Maladeta)-;;;;
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;427.151.314;4.577.260.453;427.059.411;4.577.059.566;2.128.194;41.341.726;Parc Logístic (Av. Parc Logístic / C. Número Vint-i-cinc)-;3;12;Sants-Montjuïc;la Marina del Prat Vermell
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;423837.41;4574487.01;423.745.537;4.574.286.149;2.088.938;4.131.644;Parc Nou (Riu Llobregat / Riu Ebre)-;;;;
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;428599;4.585.027.521;428.507.086;4.584.826.561;2.144.579;4.141.181;Vallcarca (Gomis)-;6;28;Gràcia;Vallcarca i els Penitents
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;430.503.822;4.580.905.898;430.411.889;4.580.704.976;2.167.841;41.374.856;Paral·lel (Fontrodona)-;3;11;Sants-Montjuïc;el Poble-sec
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;425.405.934;4.580.808.172;425.314.048;4.580.607.252;2.106.899;41.373.518;Pubilla Cases (Esteve Grau)-;;;;
